# MIB-2
mib-2	1.3.6.1.2.1
nwhrAdapterMem2	1.3.6.1.4.1.23.2.27.3.10.1.13
nwhrAdapterMem2Len	1.3.6.1.4.1.23.2.27.3.10.1.14
nwhrAdapterDMA1	1.3.6.1.4.1.23.2.27.3.10.1.15
nwhrAdapterDMA2	1.3.6.1.4.1.23.2.27.3.10.1.16
nwhrAdapterInterrupt1	1.3.6.1.4.1.23.2.27.3.10.1.17
nwhrAdapterInterrupt2	1.3.6.1.4.1.23.2.27.3.10.1.18
nwhrAdapterSlot	1.3.6.1.4.1.23.2.27.3.10.1.19
nwhrAdapterDevices	1.3.6.1.4.1.23.2.27.3.10.1.20
nwhrMslCount	1.3.6.1.4.1.23.2.27.3.11
nwhrMslTable	1.3.6.1.4.1.23.2.27.3.12
nwhrMslEntry	1.3.6.1.4.1.23.2.27.3.12.1
nwhrMslState	1.3.6.1.4.1.23.2.27.3.12.1.1
nwhrMslSpeed	1.3.6.1.4.1.23.2.27.3.12.1.2
nwhrMslSends	1.3.6.1.4.1.23.2.27.3.12.1.3
nwhrMslReceives	1.3.6.1.4.1.23.2.27.3.12.1.4
nwhrMslInErrors	1.3.6.1.4.1.23.2.27.3.12.1.5
nwhrMslOutErrors	1.3.6.1.4.1.23.2.27.3.12.1.6
nwhrPrinterTable	1.3.6.1.4.1.23.2.27.3.13
nwhrPrinterEntry	1.3.6.1.4.1.23.2.27.3.13.1
nwhrPrinterID	1.3.6.1.4.1.23.2.27.3.13.1.1
nwhrPrinterType	1.3.6.1.4.1.23.2.27.3.13.1.2
nwhrPrinterLocalName	1.3.6.1.4.1.23.2.27.3.13.1.3
nwhrPrinterQueueName	1.3.6.1.4.1.23.2.27.3.13.1.4
nwhrPrinterServerName	1.3.6.1.4.1.23.2.27.3.13.1.5
nwhrPrinterTransportDomain	1.3.6.1.4.1.23.2.27.3.13.1.6
nwhrPrinterTransportAddress	1.3.6.1.4.1.23.2.27.3.13.1.7
nwhrPrinterDeviceIndex	1.3.6.1.4.1.23.2.27.3.13.1.8
nwhrLslOutPkts	1.3.6.1.4.1.23.2.27.10.1
nwhrLslInPkts	1.3.6.1.4.1.23.2.27.10.2
nwhrLslUnclaimedPkts	1.3.6.1.4.1.23.2.27.10.3
nwhrProtocolTable	1.3.6.1.4.1.23.2.27.10.4
nwhrProtocolEntry	1.3.6.1.4.1.23.2.27.10.4.1
nwhrProtocolName	1.3.6.1.4.1.23.2.27.10.4.1.1
nwhrProtocolID	1.3.6.1.4.1.23.2.27.10.4.1.2
nwhrProtocolAddress	1.3.6.1.4.1.23.2.27.10.4.1.3
nwhrProtocolOutPkts	1.3.6.1.4.1.23.2.27.10.4.1.4
nwhrProtocolInPkts	1.3.6.1.4.1.23.2.27.10.4.1.5
nwhrProtocolIgnoredPkts	1.3.6.1.4.1.23.2.27.10.4.1.6
nwhrProtocolFullName	1.3.6.1.4.1.23.2.27.10.4.1.7
nwhrIfTable	1.3.6.1.4.1.23.2.27.10.5
nwhrIfEntry	1.3.6.1.4.1.23.2.27.10.5.1
nwhrIfLogicalBoardNumber	1.3.6.1.4.1.23.2.27.10.5.1.1
nwhrIfFrameType	1.3.6.1.4.1.23.2.27.10.5.1.2
nwhrIfLogicalBoardName	1.3.6.1.4.1.23.2.27.10.5.1.3
novell	1.3.6.1.4.1.23
mibDoc	1.3.6.1.4.1.23.2
nwServer	1.3.6.1.4.1.23.2.28
nwSystem	1.3.6.1.4.1.23.2.28.1
nwFileSystem	1.3.6.1.4.1.23.2.28.2
nwUsers	1.3.6.1.4.1.23.2.28.3
nwQueue	1.3.6.1.4.1.23.2.28.4
nwOdi	1.3.6.1.4.1.23.2.28.5
nwSft3	1.3.6.1.4.1.23.2.28.6
nwNCP	1.3.6.1.4.1.23.2.28.7
nwWatchdog	1.3.6.1.4.1.23.2.28.8
nwNLM	1.3.6.1.4.1.23.2.28.9
nwSetParams	1.3.6.1.4.1.23.2.28.10
nwUserAccounts	1.3.6.1.4.1.23.2.28.11
nwSysServerName	1.3.6.1.4.1.23.2.28.1.1
nwSysSerialNumber	1.3.6.1.4.1.23.2.28.1.2
nwSysInternalNetNum	1.3.6.1.4.1.23.2.28.1.3
nwSysServerUpTime	1.3.6.1.4.1.23.2.28.1.4
nwSysOSSFTLevel	1.3.6.1.4.1.23.2.28.1.5
nwSysOSMajorVer	1.3.6.1.4.1.23.2.28.1.6
nwSysOSMinorVer	1.3.6.1.4.1.23.2.28.1.7
nwSysOSReleaseDate	1.3.6.1.4.1.23.2.28.1.8
nwSysOSDescription	1.3.6.1.4.1.23.2.28.1.9
nwSysOSCopyright	1.3.6.1.4.1.23.2.28.1.10
nwSysTime	1.3.6.1.4.1.23.2.28.1.11
nwSysTimeZone	1.3.6.1.4.1.23.2.28.1.12
nwSysLoginState	1.3.6.1.4.1.23.2.28.1.13
nwSysLanguageID	1.3.6.1.4.1.23.2.28.1.14
nwSysNMASerialNumber	1.3.6.1.4.1.23.2.28.1.15
nwSysNMACopiesAllowed	1.3.6.1.4.1.23.2.28.1.16
nwSysDirectoryTree	1.3.6.1.4.1.23.2.28.1.17
nwSysBinderyContext	1.3.6.1.4.1.23.2.28.1.18
nwSysServerDSName	1.3.6.1.4.1.23.2.28.1.19
nwSysDaylightSavingsStart	1.3.6.1.4.1.23.2.28.1.20
nwSysDaylightSavingsEnd	1.3.6.1.4.1.23.2.28.1.21
nwSysDaylightSavingsOffset	1.3.6.1.4.1.23.2.28.1.22
nwSysDaylightSavingsStatus	1.3.6.1.4.1.23.2.28.1.23
nwFSReads	1.3.6.1.4.1.23.2.28.2.1
nwFSWrites	1.3.6.1.4.1.23.2.28.2.2
nwFSReadKBytes	1.3.6.1.4.1.23.2.28.2.3
nwFSWrittenKBytes	1.3.6.1.4.1.23.2.28.2.4
nwFSCacheChecks	1.3.6.1.4.1.23.2.28.2.5
nwFSCacheHits	1.3.6.1.4.1.23.2.28.2.6
nwFSOpenFiles	1.3.6.1.4.1.23.2.28.2.7
nwFSMaxOpenFiles	1.3.6.1.4.1.23.2.28.2.8
nwFSRecordLocks	1.3.6.1.4.1.23.2.28.2.9
nwFSMaxRecordLocks	1.3.6.1.4.1.23.2.28.2.10
nwFSMaxSubdirectoryTreeDepth	1.3.6.1.4.1.23.2.28.2.11
nwFSMaxPercentOfVolumeUsedByDir	1.3.6.1.4.1.23.2.28.2.12
nwFSVolCount	1.3.6.1.4.1.23.2.28.2.13
nwFSVolTable	1.3.6.1.4.1.23.2.28.2.14
nwFSVolEntry	1.3.6.1.4.1.23.2.28.2.14.1
nwVolID	1.3.6.1.4.1.23.2.28.2.14.1.1
nwVolPhysicalName	1.3.6.1.4.1.23.2.28.2.14.1.2
nwVolSize	1.3.6.1.4.1.23.2.28.2.14.1.3
nwVolFree	1.3.6.1.4.1.23.2.28.2.14.1.4
nwVolFreeable	1.3.6.1.4.1.23.2.28.2.14.1.5
nwVolNonFreeable	1.3.6.1.4.1.23.2.28.2.14.1.6
nwVolBlockSize	1.3.6.1.4.1.23.2.28.2.14.1.7
nwVolMounted	1.3.6.1.4.1.23.2.28.2.14.1.8
nwVolAttributes	1.3.6.1.4.1.23.2.28.2.14.1.9
nwVolNameSpaces	1.3.6.1.4.1.23.2.28.2.14.1.10
nwVolTotalDirEntries	1.3.6.1.4.1.23.2.28.2.14.1.11
nwVolUsedDirEntries	1.3.6.1.4.1.23.2.28.2.14.1.12
nwVolSegmentCount	1.3.6.1.4.1.23.2.28.2.14.1.13
nwVolDSName	1.3.6.1.4.1.23.2.28.2.14.1.14
nwVolFileSystemID	1.3.6.1.4.1.23.2.28.2.14.1.15
nwVolFileSystemName	1.3.6.1.4.1.23.2.28.2.14.1.16
nwFSOpenFileTable	1.3.6.1.4.1.23.2.28.2.15
nwFSOpenFileEntry	1.3.6.1.4.1.23.2.28.2.15.1
nwOfileVolID	1.3.6.1.4.1.23.2.28.2.15.1.1
nwOfileDirectoryNumber	1.3.6.1.4.1.23.2.28.2.15.1.2
nwOfileConnection	1.3.6.1.4.1.23.2.28.2.15.1.3
nwOfileVolumeName	1.3.6.1.4.1.23.2.28.2.15.1.4
nwOfileName	1.3.6.1.4.1.23.2.28.2.15.1.5
nwOfileLoginName	1.3.6.1.4.1.23.2.28.2.15.1.6
nwUserCount	1.3.6.1.4.1.23.2.28.3.1
nwLoginCount	1.3.6.1.4.1.23.2.28.3.2
nwMaxLogins	1.3.6.1.4.1.23.2.28.3.3
nwConnectionCount	1.3.6.1.4.1.23.2.28.3.4
nwPeakRemoteConnections	1.3.6.1.4.1.23.2.28.3.5
nwMaxConnections	1.3.6.1.4.1.23.2.28.3.6
nwNLMConnections	1.3.6.1.4.1.23.2.28.3.7
nwConnectionTable	1.3.6.1.4.1.23.2.28.3.8
nwConnectionEntry	1.3.6.1.4.1.23.2.28.3.8.1
nwConnectionNumber	1.3.6.1.4.1.23.2.28.3.8.1.1
nwConnectionLoginName	1.3.6.1.4.1.23.2.28.3.8.1.2
nwConnectionTransportDomain	1.3.6.1.4.1.23.2.28.3.8.1.3
nwConnectionTransportAddress	1.3.6.1.4.1.23.2.28.3.8.1.4
nwConnectionTime	1.3.6.1.4.1.23.2.28.3.8.1.5
nwConnectionReadKBytes	1.3.6.1.4.1.23.2.28.3.8.1.6
nwConnectionWrittenKBytes	1.3.6.1.4.1.23.2.28.3.8.1.7
nwConnectionNcpRequests	1.3.6.1.4.1.23.2.28.3.8.1.8
nwConnectionFilesOpen	1.3.6.1.4.1.23.2.28.3.8.1.9
nwConnectionRecordsLocked	1.3.6.1.4.1.23.2.28.3.8.1.10
nwConnectionPrivilege	1.3.6.1.4.1.23.2.28.3.8.1.11
nwConnectionStatus	1.3.6.1.4.1.23.2.28.3.8.1.12
nwQueueCount	1.3.6.1.4.1.23.2.28.4.1
nwQueueTable	1.3.6.1.4.1.23.2.28.4.2
nwQueueEntry	1.3.6.1.4.1.23.2.28.4.2.1
nwQID	1.3.6.1.4.1.23.2.28.4.2.1.1
nwQName	1.3.6.1.4.1.23.2.28.4.2.1.2
nwQType	1.3.6.1.4.1.23.2.28.4.2.1.3
nwQAddJobState	1.3.6.1.4.1.23.2.28.4.2.1.4
nwQAttachState	1.3.6.1.4.1.23.2.28.4.2.1.5
nwQServiceJobState	1.3.6.1.4.1.23.2.28.4.2.1.6
nwQDirVolName	1.3.6.1.4.1.23.2.28.4.2.1.7
nwQNumJobEntries	1.3.6.1.4.1.23.2.28.4.2.1.8
nwQNumAssignedServers	1.3.6.1.4.1.23.2.28.4.2.1.9
nwQueueJobTable	1.3.6.1.4.1.23.2.28.4.3
nwQueueJobEntry	1.3.6.1.4.1.23.2.28.4.3.1
nwQJobQID	1.3.6.1.4.1.23.2.28.4.3.1.1
nwQJobNumber	1.3.6.1.4.1.23.2.28.4.3.1.2
nwQJobDescription	1.3.6.1.4.1.23.2.28.4.3.1.3
nwQJobEntryDateTime	1.3.6.1.4.1.23.2.28.4.3.1.4
nwQJobPosition	1.3.6.1.4.1.23.2.28.4.3.1.5
nwQJobSize	1.3.6.1.4.1.23.2.28.4.3.1.6
nwQJobControlFlags	1.3.6.1.4.1.23.2.28.4.3.1.7
nwQJobUserName	1.3.6.1.4.1.23.2.28.4.3.1.8
nwQJobTargetServerName	1.3.6.1.4.1.23.2.28.4.3.1.9
nwQJobTargetDateTime	1.3.6.1.4.1.23.2.28.4.3.1.10
nwQJobServerName	1.3.6.1.4.1.23.2.28.4.3.1.11
nwQueueServerTable	1.3.6.1.4.1.23.2.28.4.4
nwQueueServerEntry	1.3.6.1.4.1.23.2.28.4.4.1
nwQServerQID	1.3.6.1.4.1.23.2.28.4.4.1.1
nwQServerID	1.3.6.1.4.1.23.2.28.4.4.1.2
nwQServerName	1.3.6.1.4.1.23.2.28.4.4.1.3
nwQServerStatus	1.3.6.1.4.1.23.2.28.4.4.1.4
nwOdiLslEnqSendCount	1.3.6.1.4.1.23.2.28.5.1
nwOdiOsPktRcvBuffer	1.3.6.1.4.1.23.2.28.5.2
nwOdiOsMaxPktRcvBuffers	1.3.6.1.4.1.23.2.28.5.3
nwOdiOsMinPktRcvBuffers	1.3.6.1.4.1.23.2.28.5.4
nwSft3Engine	1.3.6.1.4.1.23.2.28.6.1
nwSft3EngineState	1.3.6.1.4.1.23.2.28.6.2
nwSft3EngineTable	1.3.6.1.4.1.23.2.28.6.3
nwSft3EngineEntry	1.3.6.1.4.1.23.2.28.6.3.1
nwSft3EngineType	1.3.6.1.4.1.23.2.28.6.3.1.1
nwSft3EngineName	1.3.6.1.4.1.23.2.28.6.3.1.2
nwSft3EngineInternalNetNum	1.3.6.1.4.1.23.2.28.6.3.1.3
nwNCPIPXChecksums	1.3.6.1.4.1.23.2.28.7.1
nwNCPPacketSignatures	1.3.6.1.4.1.23.2.28.7.2
nwNCPNumNCPReqs	1.3.6.1.4.1.23.2.28.7.3
nwNCPUseCount	1.3.6.1.4.1.23.2.28.7.4
nwNCPPeakUseCount	1.3.6.1.4.1.23.2.28.7.5
nwNCPForgedPkts	1.3.6.1.4.1.23.2.28.7.6
nwNCPBeingProcesseds	1.3.6.1.4.1.23.2.28.7.7
nwNCPNoAvailConns	1.3.6.1.4.1.23.2.28.7.8
nwNCPIPXChecksumErrs	1.3.6.1.4.1.23.2.28.7.9
nwNCPInvalidPacketSigs	1.3.6.1.4.1.23.2.28.7.10
nwNCPExtNumReg	1.3.6.1.4.1.23.2.28.7.11
nwNCPExtInvalidReqs	1.3.6.1.4.1.23.2.28.7.12
nwWDTimeBeforeFirstPkt	1.3.6.1.4.1.23.2.28.8.1
nwWDTimeBetweenPkts	1.3.6.1.4.1.23.2.28.8.2
nwWDNumPktsToSend	1.3.6.1.4.1.23.2.28.8.3
nwWDCurrentState	1.3.6.1.4.1.23.2.28.8.4
nwWDNotifyConsoleFlag	1.3.6.1.4.1.23.2.28.8.5
nwNLMTable	1.3.6.1.4.1.23.2.28.9.1
nwNLMEntry	1.3.6.1.4.1.23.2.28.9.1.1
nwNLMIndex	1.3.6.1.4.1.23.2.28.9.1.1.1
nwNLMName	1.3.6.1.4.1.23.2.28.9.1.1.2
nwNLMDescription	1.3.6.1.4.1.23.2.28.9.1.1.3
nwNLMTotalMemory	1.3.6.1.4.1.23.2.28.9.1.1.4
nwNLMCopyright	1.3.6.1.4.1.23.2.28.9.1.1.5
nwNLMProtectionDomain	1.3.6.1.4.1.23.2.28.9.1.1.6
nwNLMMajorVer	1.3.6.1.4.1.23.2.28.9.1.1.7
nwNLMMinorVer	1.3.6.1.4.1.23.2.28.9.1.1.8
nwNLMRevision	1.3.6.1.4.1.23.2.28.9.1.1.9
nwNLMReleaseDate	1.3.6.1.4.1.23.2.28.9.1.1.10
nwSetCategoryTable	1.3.6.1.4.1.23.2.28.10.1
nwSetCategoryEntry	1.3.6.1.4.1.23.2.28.10.1.1
nwSetCategoryIndex	1.3.6.1.4.1.23.2.28.10.1.1.1
nwSetCategoryName	1.3.6.1.4.1.23.2.28.10.1.1.2
nwSetParamTable	1.3.6.1.4.1.23.2.28.10.2
nwSetParamEntry	1.3.6.1.4.1.23.2.28.10.2.1
nwSetParamCategoryIndex	1.3.6.1.4.1.23.2.28.10.2.1.1
nwSetParamIndex	1.3.6.1.4.1.23.2.28.10.2.1.2
nwSetParamName	1.3.6.1.4.1.23.2.28.10.2.1.3
nwSetParamType	1.3.6.1.4.1.23.2.28.10.2.1.4
nwSetParamValueInteger	1.3.6.1.4.1.23.2.28.10.2.1.5
nwSetParamValueString	1.3.6.1.4.1.23.2.28.10.2.1.6
nwSetParamLowerLimit	1.3.6.1.4.1.23.2.28.10.2.1.7
nwSetParamUpperLimit	1.3.6.1.4.1.23.2.28.10.2.1.8
nwSetParamDescrLength	1.3.6.1.4.1.23.2.28.10.2.1.9
nwSetParamMode	1.3.6.1.4.1.23.2.28.10.2.1.10
nwSetDescrTable	1.3.6.1.4.1.23.2.28.10.3
nwSetDescrEntry	1.3.6.1.4.1.23.2.28.10.3.1
nwSetDescrCategoryIndex	1.3.6.1.4.1.23.2.28.10.3.1.1
nwSetDescrParamIndex	1.3.6.1.4.1.23.2.28.10.3.1.2
nwSetDescrIndex	1.3.6.1.4.1.23.2.28.10.3.1.3
nwSetDescription	1.3.6.1.4.1.23.2.28.10.3.1.4
nwUserAcctTable	1.3.6.1.4.1.23.2.28.11.1
nwUserAcctEntry	1.3.6.1.4.1.23.2.28.11.1.1
nwUserID	1.3.6.1.4.1.23.2.28.11.1.1.1
nwUserName	1.3.6.1.4.1.23.2.28.11.1.1.2
nwUserDiskUsage	1.3.6.1.4.1.23.2.28.11.1.1.3
nwUserLastLoginTime	1.3.6.1.4.1.23.2.28.11.1.1.4
nwUserAccountStatus	1.3.6.1.4.1.23.2.28.11.1.1.5
nwUserPasswordStatus	1.3.6.1.4.1.23.2.28.11.1.1.6
nwUserBadLoginTransport	1.3.6.1.4.1.23.2.28.11.1.1.7
nwUserBadLoginAddress	1.3.6.1.4.1.23.2.28.11.1.1.8
nwUserBadLoginAttempts	1.3.6.1.4.1.23.2.28.11.1.1.9
nwUserFullName	1.3.6.1.4.1.23.2.28.11.1.1.10
nwUserVolUsageTable	1.3.6.1.4.1.23.2.28.11.2
nwUserVolUsageEntry	1.3.6.1.4.1.23.2.28.11.2.1
nwUserVolUserID	1.3.6.1.4.1.23.2.28.11.2.1.1
nwUserVolVolID	1.3.6.1.4.1.23.2.28.11.2.1.2
nwUserVolUsageUser	1.3.6.1.4.1.23.2.28.11.2.1.3
nwUserVolUsageVolume	1.3.6.1.4.1.23.2.28.11.2.1.4
nwUserVolUsageSpaceUsed	1.3.6.1.4.1.23.2.28.11.2.1.5
nwUserVolUsageLimit	1.3.6.1.4.1.23.2.28.11.2.1.6
nwVolUsageTable	1.3.6.1.4.1.23.2.28.11.3
nwVolUsageEntry	1.3.6.1.4.1.23.2.28.11.3.1
nwVolUsageVolID	1.3.6.1.4.1.23.2.28.11.3.1.1
nwVolUsageUserID	1.3.6.1.4.1.23.2.28.11.3.1.2
nwVolUsageVolume	1.3.6.1.4.1.23.2.28.11.3.1.3
nwVolUsageUser	1.3.6.1.4.1.23.2.28.11.3.1.4
nwVolUsageSpaceUsed	1.3.6.1.4.1.23.2.28.11.3.1.5
nwVolUsageLimit	1.3.6.1.4.1.23.2.28.11.3.1.6
novell	1.3.6.1.4.1.23
mibDoc	1.3.6.1.4.1.23.2
nwTrend	1.3.6.1.4.1.23.2.26
nwtControl	1.3.6.1.4.1.23.2.26.1
nwtTrapInfo	1.3.6.1.4.1.23.2.26.2
nwtControlTable	1.3.6.1.4.1.23.2.26.1.1
nwtControlEntry	1.3.6.1.4.1.23.2.26.1.1.1
nwtControlAttributeClass	1.3.6.1.4.1.23.2.26.1.1.1.1
nwtControlIndex	1.3.6.1.4.1.23.2.26.1.1.1.2
nwtControlAttributeInstance	1.3.6.1.4.1.23.2.26.1.1.1.3
nwtControlSampleInterval	1.3.6.1.4.1.23.2.26.1.1.1.4
nwtControlSampleType	1.3.6.1.4.1.23.2.26.1.1.1.5
nwtControlSampleInvalidValue	1.3.6.1.4.1.23.2.26.1.1.1.6
nwtControlLastSampleValue	1.3.6.1.4.1.23.2.26.1.1.1.7
nwtControlReferenceTimeStamp	1.3.6.1.4.1.23.2.26.1.1.1.8
nwtControlThresholdState	1.3.6.1.4.1.23.2.26.1.1.1.9
nwtControlThresholdType	1.3.6.1.4.1.23.2.26.1.1.1.10
nwtControlRisingThreshold	1.3.6.1.4.1.23.2.26.1.1.1.11
nwtControlFallingThreshold	1.3.6.1.4.1.23.2.26.1.1.1.12
nwtControlHistoryState	1.3.6.1.4.1.23.2.26.1.1.1.13
nwtControlHistoryLastSampleIndex	1.3.6.1.4.1.23.2.26.1.1.1.14
nwtControlHistoryBucketsRequested	1.3.6.1.4.1.23.2.26.1.1.1.15
nwtControlHistoryBucketsGranted	1.3.6.1.4.1.23.2.26.1.1.1.16
nwtControlStatus	1.3.6.1.4.1.23.2.26.1.1.1.17
nwtHistoryTable	1.3.6.1.4.1.23.2.26.1.2
nwtHistoryEntry	1.3.6.1.4.1.23.2.26.1.2.1
nwtHistoryControlIndex	1.3.6.1.4.1.23.2.26.1.2.1.1
nwtHistorySampleIndex	1.3.6.1.4.1.23.2.26.1.2.1.2
nwtHistorySampleValue	1.3.6.1.4.1.23.2.26.1.2.1.3
nwtServerName	1.3.6.1.4.1.23.2.26.2.1
nwtTrapTime	1.3.6.1.4.1.23.2.26.2.2
nwtThreshold	1.3.6.1.4.1.23.2.26.2.3
nwtInterval	1.3.6.1.4.1.23.2.26.2.4
nwtInterfaceName	1.3.6.1.4.1.23.2.26.2.5
nwtQueueName	1.3.6.1.4.1.23.2.26.2.6
nwtVolumeName	1.3.6.1.4.1.23.2.26.2.7
nwtDiskName	1.3.6.1.4.1.23.2.26.2.8
nwtCPUDescription	1.3.6.1.4.1.23.2.26.2.9
directory	1.3.6.1.1
mgmt	1.3.6.1.2
experimental	1.3.6.1.3
private	1.3.6.1.4
enterprises	1.3.6.1.4.1
microsoft	1.3.6.1.4.1.311
software	1.3.6.1.4.1.311.1
wins	1.3.6.1.4.1.311.1.2
par	1.3.6.1.4.1.311.1.2.1
pull	1.3.6.1.4.1.311.1.2.2
push	1.3.6.1.4.1.311.1.2.3
datafiles	1.3.6.1.4.1.311.1.2.4
cmd	1.3.6.1.4.1.311.1.2.5
parWinsStartTime	1.3.6.1.4.1.311.1.2.1.1
parLastPScvTime	1.3.6.1.4.1.311.1.2.1.2
parLastATScvTime	1.3.6.1.4.1.311.1.2.1.3
parLastTombScvTime	1.3.6.1.4.1.311.1.2.1.4
parLastVerifyScvTime	1.3.6.1.4.1.311.1.2.1.5
parLastPRplTime	1.3.6.1.4.1.311.1.2.1.6
parLastATRplTime	1.3.6.1.4.1.311.1.2.1.7
parLastNTRplTime	1.3.6.1.4.1.311.1.2.1.8
parLastACTRplTime	1.3.6.1.4.1.311.1.2.1.9
parLastInitDbTime	1.3.6.1.4.1.311.1.2.1.10
parLastCounterResetTime	1.3.6.1.4.1.311.1.2.1.11
parWinsTotalNoOfReg	1.3.6.1.4.1.311.1.2.1.12
parWinsTotalNoOfQueries	1.3.6.1.4.1.311.1.2.1.13
parWinsTotalNoOfRel	1.3.6.1.4.1.311.1.2.1.14
parWinsTotalNoOfSuccRel	1.3.6.1.4.1.311.1.2.1.15
parWinsTotalNoOfFailRel	1.3.6.1.4.1.311.1.2.1.16
parWinsTotalNoOfSuccQueries	1.3.6.1.4.1.311.1.2.1.17
parWinsTotalNoOfFailQueries	1.3.6.1.4.1.311.1.2.1.18
parRefreshInterval	1.3.6.1.4.1.311.1.2.1.19
parTombstoneInterval	1.3.6.1.4.1.311.1.2.1.20
parTombstoneTimeout	1.3.6.1.4.1.311.1.2.1.21
parVerifyInterval	1.3.6.1.4.1.311.1.2.1.22
parVersCounterStartValLowWord	1.3.6.1.4.1.311.1.2.1.23
parVersCounterStartValHighWord	1.3.6.1.4.1.311.1.2.1.24
parRplOnlyWCnfPnrs	1.3.6.1.4.1.311.1.2.1.25
parStaticDataInit	1.3.6.1.4.1.311.1.2.1.26
parLogFlag	1.3.6.1.4.1.311.1.2.1.27
parLogFileName	1.3.6.1.4.1.311.1.2.1.28
parBackupDirPath	1.3.6.1.4.1.311.1.2.1.29
parDoBackupOnTerm	1.3.6.1.4.1.311.1.2.1.30
parMigrateOn	1.3.6.1.4.1.311.1.2.1.31
dfDatafilesTable	1.3.6.1.4.1.311.1.2.4.1
dfDatafileEntry	1.3.6.1.4.1.311.1.2.4.1.1
dfDatafileIndex	1.3.6.1.4.1.311.1.2.4.1.1.1
dfDatafileName	1.3.6.1.4.1.311.1.2.4.1.1.2
pullInitTime	1.3.6.1.4.1.311.1.2.2.1
pullCommRetryCount	1.3.6.1.4.1.311.1.2.2.2
pullPnrTable	1.3.6.1.4.1.311.1.2.2.3
ppullPnrEntry	1.3.6.1.4.1.311.1.2.2.3.1
pullPnrAdd	1.3.6.1.4.1.311.1.2.2.3.1.1
pullPnrSpTime	1.3.6.1.4.1.311.1.2.2.3.1.2
pullPnrTimeInterval	1.3.6.1.4.1.311.1.2.2.3.1.3
pullPnrMemberPrec	1.3.6.1.4.1.311.1.2.2.3.1.4
pullPnrNoOfSuccRpls	1.3.6.1.4.1.311.1.2.2.3.1.5
pullPnrNoOfCommFails	1.3.6.1.4.1.311.1.2.2.3.1.6
pullPnrVersNoLowWord	1.3.6.1.4.1.311.1.2.2.3.1.7
pullPnrVersNoHighWord	1.3.6.1.4.1.311.1.2.2.3.1.8
pushInitTime	1.3.6.1.4.1.311.1.2.3.1
pushRplOnAddChg	1.3.6.1.4.1.311.1.2.3.2
pushPnrTable	1.3.6.1.4.1.311.1.2.3.3
pushPnrEntry	1.3.6.1.4.1.311.1.2.3.3.1
pushPnrAdd	1.3.6.1.4.1.311.1.2.3.3.1.1
pushPnrUpdateCount	1.3.6.1.4.1.311.1.2.3.3.1.2
cmdPullTrigger	1.3.6.1.4.1.311.1.2.5.1
cmdPushTrigger	1.3.6.1.4.1.311.1.2.5.2
cmdDeleteWins	1.3.6.1.4.1.311.1.2.5.3
cmdDoScavenging	1.3.6.1.4.1.311.1.2.5.4
cmdDoStaticInit	1.3.6.1.4.1.311.1.2.5.5
cmdNoOfWrkThds	1.3.6.1.4.1.311.1.2.5.6
cmdPriorityClass	1.3.6.1.4.1.311.1.2.5.7
cmdResetCounters	1.3.6.1.4.1.311.1.2.5.8
cmdDeleteDbRecs	1.3.6.1.4.1.311.1.2.5.9
cmdDRPopulateTable	1.3.6.1.4.1.311.1.2.5.10
cmdDRDataRecordsTable	1.3.6.1.4.1.311.1.2.5.11
cmdDRRecordEntry	1.3.6.1.4.1.311.1.2.5.11.1
cmdDRRecordName	1.3.6.1.4.1.311.1.2.5.11.1.1
cmdDRRecordAddress	1.3.6.1.4.1.311.1.2.5.11.1.2
cmdDRRecordType	1.3.6.1.4.1.311.1.2.5.11.1.3
cmdDRRecordPersistenceType	1.3.6.1.4.1.311.1.2.5.11.1.4
cmdDRRecordState	1.3.6.1.4.1.311.1.2.5.11.1.5
cmdWinsVersNoLowWord	1.3.6.1.4.1.311.1.2.5.12
cmdWinsVersNoHighWord	1.3.6.1.4.1.311.1.2.5.13
